Node,Type,Subgraph,Status
/layer3/layer3.4/relu/Relu,Relu,vaiml_par_0,Supported
/layer3/layer3.4/relu_1/Relu,Relu,vaiml_par_0,Supported
/layer3/layer3.4/relu_2/Relu,Relu,vaiml_par_0,Supported
/layer3/layer3.5/Add,Add,vaiml_par_0,Supported
/layer3/layer3.5/conv1/Conv,Conv,vaiml_par_0,Supported
/layer3/layer3.5/conv2/Conv,Conv,vaiml_par_0,Supported
/layer3/layer3.5/conv3/Conv,Conv,vaiml_par_0,Supported
/layer3/layer3.5/relu/Relu,Relu,vaiml_par_0,Supported
/layer3/layer3.5/relu_1/Relu,Relu,vaiml_par_0,Supported
/layer3/layer3.5/relu_2/Relu,Relu,vaiml_par_0,Supported
/layer4/layer4.0/Add,Add,vaiml_par_0,Supported
/layer4/layer4.0/conv1/Conv,Conv,vaiml_par_0,Supported
/layer4/layer4.0/conv2/Conv,Conv,vaiml_par_0,Supported
/layer4/layer4.0/conv3/Conv,Conv,vaiml_par_0,Supported
/layer4/layer4.0/downsample/downsample.0/Conv,Conv,vaiml_par_0,Supported
/layer4/layer4.0/relu/Relu,Relu,vaiml_par_0,Supported
/layer4/layer4.0/relu_1/Relu,Relu,vaiml_par_0,Supported
/layer4/layer4.0/relu_2/Relu,Relu,vaiml_par_0,Supported
/layer4/layer4.1/Add,Add,vaiml_par_0,Supported
/layer4/layer4.1/conv1/Conv,Conv,vaiml_par_0,Supported
/layer4/layer4.1/conv2/Conv,Conv,vaiml_par_0,Supported
/layer4/layer4.1/conv3/Conv,Conv,vaiml_par_0,Supported
/layer4/layer4.1/relu/Relu,Relu,vaiml_par_0,Supported
/layer4/layer4.1/relu_1/Relu,Relu,vaiml_par_0,Supported
/layer4/layer4.1/relu_2/Relu,Relu,vaiml_par_0,Supported
/layer4/layer4.2/Add,Add,vaiml_par_0,Supported
/layer4/layer4.2/conv1/Conv,Conv,vaiml_par_0,Supported
/layer4/layer4.2/conv2/Conv,Conv,vaiml_par_0,Supported
/layer4/layer4.2/conv3/Conv,Conv,vaiml_par_0,Supported
/layer4/layer4.2/relu/Relu,Relu,vaiml_par_0,Supported
/layer4/layer4.2/relu_1/Relu,Relu,vaiml_par_0,Supported
/layer4/layer4.2/relu_2/Relu,Relu,vaiml_par_0,Supported
/maxpool/MaxPool,MaxPool,vaiml_par_0,Supported
/relu/Relu,Relu,vaiml_par_0,Supported
